TRADEDATE,IMOEX,MOEX10
2017-02-01,2231.68,4973.59
2017-02-02,2217.56,4963.76
2017-02-03,2226.61,4983.89
2017-02-06,2210.51,4961.98
2017-02-07,2218.77,4970.35
2017-02-08,2189.61,4913.61
2017-02-09,2173.98,4875.15
2017-02-10,2162.19,4834.7
2017-02-13,2161.49,4780.07
2017-02-14,2141.5,4712.95
2017-02-15,2137.08,4725.96
2017-02-16,2148.48,4779.07
2017-02-17,2128.21,4747.76
2017-02-20,2119.09,4698.04
2017-02-21,2127.72,4705.7
2017-02-22,2106.3,4665.85
2017-02-24,2093.09,4612.29
2017-02-27,2056.46,4506.09
2017-02-28,2035.77,4451.9
2017-03-01,2059.87,4544.01
2017-03-02,2049.0,4505.3
2017-03-03,2056.89,4492.98
2017-03-06,2047.42,4449.92
2017-03-07,2024.84,4389.94
2017-03-09,1974.24,4278.37
2017-03-10,1973.96,4276.54
2017-03-13,2000.14,4326.78
2017-03-14,2001.25,4316.74
2017-03-15,1992.59,4298.38
2017-03-16,2014.37,4341.27
2017-03-17,2036.96,4420.32
2017-03-20,2042.72,4433.96
2017-03-21,2048.07,4418.12
2017-03-22,2061.53,4427.7
2017-03-23,2051.04,4422.63
2017-03-24,2039.77,4422.11
2017-03-27,2013.16,4359.16
2017-03-28,2032.54,4411.77
2017-03-29,2023.71,4438.43
2017-03-30,2021.88,4436.34
2017-03-31,1995.9,4365.59
2017-04-03,2008.61,4413.33
2017-04-04,2025.69,4440.32
2017-04-05,2056.32,4494.47
2017-04-06,2054.69,4489.03
2017-04-07,2020.23,4384.17
2017-04-10,1971.23,4269.17
2017-04-11,1977.95,4292.08
2017-04-12,1947.88,4228.52
2017-04-13,1944.7,4224.48
2017-04-14,1916.29,4170.56
2017-04-17,1942.72,4252.54
2017-04-18,1920.29,4185.37
2017-04-19,1916.5,4193.92
2017-04-20,1932.17,4224.74
2017-04-21,1944.72,4247.02
2017-04-24,1979.57,4353.1
2017-04-25,1998.41,4403.62
2017-04-26,2026.92,4431.3
2017-04-27,2011.67,4386.88
2017-04-28,2016.71,4428.91
2017-05-02,2026.85,4436.17
2017-05-03,1993.66,4374.92
2017-05-04,1998.87,4357.27
2017-05-05,2002.41,4366.77
2017-05-10,2028.21,4416.27
2017-05-11,2002.54,4376.13
2017-05-12,1994.58,4349.29
2017-05-15,2003.12,4349.29
2017-05-16,1992.94,4299.63
2017-05-17,1994.35,4313.14
2017-05-18,1967.66,4253.92
2017-05-19,1962.4,4203.28
2017-05-22,1950.51,4167.31
2017-05-23,1960.16,4214.5
2017-05-24,1951.98,4205.89
2017-05-25,1947.26,4163.87
2017-05-26,1934.25,4143.28
2017-05-29,1940.77,4146.2
2017-05-30,1932.91,4135.26
2017-05-31,1900.38,4038.17
2017-06-01,1869.66,4025.64
2017-06-02,1881.87,4051.53
2017-06-05,1877.69,4051.21
2017-06-06,1870.04,4048.09
2017-06-07,1868.42,4049.03
2017-06-08,1874.21,4030.35
2017-06-09,1883.34,4069.52
2017-06-13,1861.27,4065.83
2017-06-14,1838.32,4005.81
2017-06-15,1817.82,3949.83
2017-06-16,1822.91,3974.07
2017-06-19,1849.78,4020.29
2017-06-20,1857.96,4023.53
2017-06-21,1850.81,4005.48
2017-06-22,1860.05,4030.5
2017-06-23,1867.46,4061.75
2017-06-26,1860.39,4045.43
2017-06-27,1878.94,4100.26
2017-06-28,1891.98,4132.62
2017-06-29,1881.04,4106.0
2017-06-30,1879.5,4099.36
2017-07-03,1902.59,4153.3
2017-07-04,1917.4,4153.3
